0,1,2,3,4
1,5,3,2,60
2,3,5,2,60
3,4,2,2,60
4,2,4,2,60
5,2,3,2,60
6,3,2,2,60
7,3,6,2,60
8,6,3,2,60
9,6,7,2,60
10,7,6,2,60
11,2,1,2,60
12,1,2,2,60
13,6,8,2,60
14,8,6,2,60
15,8,1,2,60
16,1,8,2,60
17,1,9,2,60
18,9,1,2,60
19,9,11,2,60
20,11,9,2,60
21,11,10,2,60
22,10,11,2,60
23,9,10,2,60
24,10,9,2,60
25,10,12,2,60
26,12,10,2,60
27,12,24,2,60
28,24,12,2,60
29,12,31,2,60
30,31,12,2,60
31,31,29,2,60
32,29,31,2,60
33,31,25,2,60
34,25,31,2,60
35,11,13,2,60
36,13,11,2,60
37,12,13,2,60
38,13,12,2,60
39,13,14,2,60
40,14,13,2,60
41,25,29,2,60
42,29,25,2,60
43,29,30,2,60
44,30,29,2,60
45,29,26,2,60
46,26,29,2,60
47,28,26,2,60
48,26,28,2,60
49,26,27,2,60
50,27,26,2,60
51,14,64,2,60
52,64,14,2,60
53,64,19,2,60
54,19,64,2,60
55,19,27,2,60
56,27,19,2,60
57,19,18,2,60
58,18,19,2,60
59,64,18,2,60
60,18,64,2,60
61,18,21,2,60
62,21,18,2,60
63,21,20,2,60
64,20,21,2,60
65,21,17,2,60
66,17,21,2,60
67,17,16,2,60
68,16,17,2,60
69,14,16,2,60
70,16,14,2,60
71,14,15,2,60
72,15,14,2,60
73,17,22,2,60
74,22,17,2,60
75,16,23,2,60
76,23,16,2,60
77,15,23,2,60
78,23,15,2,60
79,14,35,2,60
80,35,14,2,60
81,8,32,2,60
82,32,8,2,60
83,32,33,2,60
84,33,32,2,60
85,33,35,2,60
86,35,33,2,60
87,33,34,2,60
88,34,33,2,60
89,35,36,2,60
90,36,35,2,60
91,36,37,2,60
92,37,36,2,60
93,37,63,2,60
94,63,37,2,60
95,36,62,2,60
96,62,36,2,60
97,62,61,2,60
98,61,62,2,60
99,35,39,2,60
100,39,35,2,60
101,39,38,2,60
102,38,39,2,60
103,35,38,2,60
104,38,35,2,60
105,38,47,2,60
106,47,38,2,60
107,47,52,2,60
108,52,47,2,60
109,38,48,2,60
110,48,38,2,60
111,48,52,2,60
112,52,48,2,60
113,52,53,2,60
114,53,52,2,60
115,48,49,2,60
116,49,48,2,60
117,49,50,2,60
118,50,49,2,60
119,50,51,2,60
120,51,50,2,60
121,50,46,2,60
122,46,50,2,60
123,39,40,2,60
124,40,39,2,60
125,40,41,2,60
126,41,40,2,60
127,41,55,2,60
128,55,41,2,60
129,41,60,2,60
130,60,41,2,60
131,60,43,2,60
132,43,60,2,60
133,38,42,2,60
134,42,38,2,60
135,42,43,2,60
136,43,42,2,60
137,43,44,2,60
138,44,43,2,60
139,44,45,2,60
140,45,44,2,60
141,45,46,2,60
142,46,45,2,60
143,43,54,2,60
144,54,43,2,60
145,55,59,2,60
146,59,55,2,60
147,59,58,2,60
148,58,59,2,60
149,58,60,2,60
150,60,58,2,60
151,55,56,2,60
152,56,55,2,60
153,56,57,2,60
154,57,56,2,60
155,57,59,2,60
156,59,57,2,60
